key,message_id,status,timestamp
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQUUwMjQxRkJEREU5M0UwRThCAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQUUwMjQxRkJEREU5M0UwRThCAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTY4RUZGRTY0NDVDQzI2QTk1AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTY4RUZGRTY0NDVDQzI2QTk1AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMDYxMjJBQUE3MzJCMjc0QzdDAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMDYxMjJBQUE3MzJCMjc0QzdDAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMTdFNDlDMjJCMzVBQkZFMTdBAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMTdFNDlDMjJCMzVBQkZFMTdBAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNDhERDE2QTZFNEM1RUM3M0NDAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNDhERDE2QTZFNEM1RUM3M0NDAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMjU2NTUxNDc3QTc5NkU2QzA2AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMjU2NTUxNDc3QTc5NkU2QzA2AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRTA4NTNFRUEwNTdDNkNCNzJCAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRTA4NTNFRUEwNTdDNkNCNzJCAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQjBBNUEyQzY5MEVCQkRCMkE2AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQjBBNUEyQzY5MEVCQkRCMkE2AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRUREODYwQ0U5QzFDMTRCMEREAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRUREODYwQ0U5QzFDMTRCMEREAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMDNBMzY5NjJGMEQ2MjMzMEFCAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMDNBMzY5NjJGMEQ2MjMzMEFCAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNTc2Nzk3NjI1QTE1QTRENkY4AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNTc2Nzk3NjI1QTE1QTRENkY4AA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQzY3OEE4OTg0MEJFRERFRDlCAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQzY3OEE4OTg0MEJFRERFRDlCAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQUNCRjFCQ0Y4Q0UyNTAwOUU2AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQUNCRjFCQ0Y4Q0UyNTAwOUU2AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTQwMzVBOEU0ODc2RUQ5NEYwAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTQwMzVBOEU0ODc2RUQ5NEYwAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMzJFRjhCNTNDMUY3RDJCMTdBAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMzJFRjhCNTNDMUY3RDJCMTdBAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNTcyN0Y4RjhCRjk4Mzk1NzAwAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNTcyN0Y4RjhCRjk4Mzk1NzAwAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSM0Q0NkM0NTkxODI2NzlDQjMwAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSM0Q0NkM0NTkxODI2NzlDQjMwAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTQwMzVBOEU0ODc2RUQ5NEYwAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTQwMzVBOEU0ODc2RUQ5NEYwAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTU5MzlDOTFGQTA0MTEwMEYyAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTU5MzlDOTFGQTA0MTEwMEYyAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTU5MzlDOTFGQTA0MTEwMEYyAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTU5MzlDOTFGQTA0MTEwMEYyAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNjg4MUQzNTZGRDYzMzQyOTA5AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNjg4MUQzNTZGRDYzMzQyOTA5AA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSN0U4M0JCQzBCMTVCNTQ3QzY3AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSN0U4M0JCQzBCMTVCNTQ3QzY3AA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNzBEMkI3RkZGQTk0MTNFNENFAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNzBEMkI3RkZGQTk0MTNFNENFAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMTYyMUVCQjdERUFCRENCQTc5AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMTYyMUVCQjdERUFCRENCQTc5AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSM0Y4Q0M0QzZBNjUzQjA2NjNEAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSM0Y4Q0M0QzZBNjUzQjA2NjNEAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMDU4NEE0RTBCQzBCQzI5QkVBAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMDU4NEE0RTBCQzBCQzI5QkVBAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSM0Y4Q0M0QzZBNjUzQjA2NjNEAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSM0Y4Q0M0QzZBNjUzQjA2NjNEAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNzg4Q0FCQjc5QkNFNEU4RjdCAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNzg4Q0FCQjc5QkNFNEU4RjdCAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOTlGRDg4NEQwNUIzNzNGOUI0AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOTlGRDg4NEQwNUIzNzNGOUI0AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNjdCMjFDN0E3QjMyRjBCODIxAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNjdCMjFDN0E3QjMyRjBCODIxAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSN0U3QjBBQUVDQ0YwNDdERkNGAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSN0U3QjBBQUVDQ0YwNDdERkNGAA==,delivered,
